Museum,Specimen _Number,Species,Subspecies,Clade,Sex,Elevation,Body Mass (g),Body _Length _(mm),Head _Length _(mm),Bill Length (mm),Bill Width1 (mm),Bill Width2 (mm),Bill Width3 (mm),Bill Depth1 (mm),Bill Depth2 (mm),Bill Depth3 (mm),Proximal Bill Cross-Sectional_ Area (mm2),Mid-Length Bill Cross-Sectional Area (mm2),Distal Bill Cross-Sectional Area (mm2),Wing Length (mm),Primary 1 (mm),Primary 2 (mm),Primary 3 (mm),Primary 4 (mm),Primary 5 (mm),Primary 6 (mm),Primary 7 (mm),Primary 8 (mm),Primary 9 (mm),Width of Primary 1,Width of Primary 9,Tibiotarsus Width (mm),Tarsometatarsus Length (mm),Tarsometatarsus Width (mm),Digit 1 (mm),Digit 2 (mm),Digit 3 (mm),Digit 4 (mm),Ungual 1 (mm),Ungual 2 (mm),Ungual 3 (mm),Ungual 4 (mm),Central rectrix (mm),Lateral Retrices,Isometric Size Index,Wing Pointedness Index,Wing Convexity Index,Country,State/Province,Region,Locality,Preparation,Latitute (o South),Longitude (o West),Elevation1,Prin1 2,Prin2 2,Prin3 2,Prin4 2,Prin5 2,Species,Museum,Specimen_Number,D15N,D13C,Prct_Nitrogen,Prct_Carbon,C_N_Ratio, ?18O,Species,Museum,Specimen_Number,Isotope_Samp_ID,dDa,[H]a,,dDb,[H]b,Mean_dD
AMNH,523208,albidiventris,,Small,not recorded,,,171,41.67,14.73,4.47,1.95,0.96,4.24,3.51,1.43,59.54197724,21.50263092,4.312778395,96.72,56.9,70.18,71.16,66.86,64.57,54.19,51.3,48.65,46.48,6.59,11.9,1.64,29.73,1.38,20.73,16.11,22.97,16.33,9.06,4.61,5.59,5.17,62.05,54.84,-1.117074634,0.127193699,1.336093959,Venezuela,Merida,,,,8.6,71.15,1609,-2.444788717,1.439914539,0.177059473,0.002375903,0.227239528,het,AMNH,523208,7.583738400,-20.779297400,13.292147700,44.766869600,3.367918459,5.571901491,het,AMNH,523208,het-A523208a,-73.1,5.37,het-a523208b,-69.4,4.82,-71.237
AMNH,,albidiventris,,Small,male,3000 m,,173,42.8,16.81,5.13,2.4,0.98,4.6,3.84,1.34,74.13530344,28.9529179,4.125539473,91.31,54.77,66.74,68.54,67.92,67.71,65.03,60.43,57.36,55.26,6.75,11.55,1.91,28.62,1.46,19.91,14.2,22.19,16,9.11,4.88,5.84,4.3,65.2,56.24,-1.027331934,1.332029903,0.282448922,Venezuela,Merida,,near Quintero,,8.828,70.693,3000,-1.799274866,-0.689896411,-1.079598558,-1.210345928,0.724377688,,,,,,,,,,,,,,,,,,,
FMNH,53886,albidiventris,,Small,m,3000m,,182,35.88,12.29,4.34,1.83,0.92,4,3.32,1.35,54.53804847,19.08706033,3.901858076,89.48,60.3,71.86,73.14,72.71,72.19,67.99,64.02,60.85,58.96,6.93,11.18,1.95,31.93,1.63,19.7,14.51,21.29,15.77,9.71,5.09,6.22,5.13,63.72,49.99,-0.921271003,1.152559979,0.147180742,Venezuela,Merida,,Los Nevados,,8.46,71.08,3000,-2.615163542,-0.04991091,-1.315419867,-1.737495692,1.556389643,,,,,,,,,,,,,,,,,,,
FMNH,53887,albidiventris,,Small,m,,,167,39.38,11.75,4.92,1.62,1.1,3.85,3.08,1.78,59.50804804,15.6752907,6.151238416,94.67,57.41,69.43,70.96,69.5,68.5,65.33,59.69,58.08,56.14,7.25,13.63,1.69,28.57,1.54,16.92,14.84,22.83,18.65,8.94,5.17,6.52,4.99,66.25,55.44,-0.995018585,1.089766962,0.316545181,Venezuela,Merida,,Conejos,,8.63,71.338,2401,-2.4658749,-0.900388796,-0.890622767,-0.945972537,0.90639544,,,,,,,,,,,,,,,,,,,
FMNH,73520,albidiventris,,Small,m,,,169,41.98,13.64,4.45,1.98,1.04,4.25,3.65,1.17,59.41537106,22.70429011,3.822689941,96.37,60.38,72.24,73.3,72.57,70.55,66.37,60.76,58.56,56.82,7.26,11.84,1.81,28.51,1.34,18.23,15.31,24.57,13.97,9.13,4.72,5.57,4.89,69.29,60.74,-0.94764196,0.907324301,0.433218271,Venezuela,Merida,,Paramo Frias,,8.413,70.699,275,-2.313958564,-0.675777658,-0.486574332,-0.723470548,0.291821777,,,,,,,,,,,,,,,,,,,
FMNH,73521,albidiventris,,Small,f,,,163,40.29,13.08,4.56,1.86,0.81,3.87,3.22,1.03,55.44031388,18.81562672,2.621030751,92.79,57.12,68.95,70.97,69.57,69.29,65.73,60.37,58.24,56.22,6.96,13.03,1.53,25.96,1.5,18.74,13.8,22.38,16.14,9.09,5,6.45,5.01,65.47,53.48,-0.990978077,1.162979319,0.341849047,Venezuela,Merida,,Paramo Frias,,8.413,70.699,275,-2.966300355,-0.288511765,-1.066504806,-1.160105584,0.908003699,,,,,,,,,,,,,,,,,,,
FMNH,152231,albidiventris,,Small,m,3000m,,177,41.04,14.97,4.55,2.1,1.14,4.43,3.68,1.2,63.32351232,24.27822803,4.29769875,89.47,62.12,71.04,71.9,71.04,67.26,63.83,61.32,57.97,55.28,7.31,11.99,1.78,28.74,1.44,18.47,14.63,21.11,16.59,9.49,5.44,6.22,5.36,63.35,54.78,-0.969944155,0.754879589,-0.157044944,Venezuela,Merida,,La Culata,,8.944,70.643,3000,-1.994175038,-0.171642204,-0.774582879,-1.769540726,1.154305322,,,,,,,,,,,,,,,,,,,
FMNH,152232,albidiventris,,Small,,3000m,,168,38.45,12.5,4.1,1.74,1.08,3.7,2.8,1.26,47.65796055,15.30583941,4.275079283,95.69,60.67,74.18,74.5,74,73.35,69.61,65.41,61.85,59.75,6.85,11.63,1.66,27.77,1.37,19.57,12.92,23.56,14.88,9.63,5.61,5.79,5.31,72.56,61.13,-0.891173638,1.176225743,0.243152437,Venezuela,Merida,,La Culata,,8.944,70.643,3000,-2.551619423,-0.462781327,-0.842397302,-1.222460473,0.495968939,,,,,,,,,,,,,,,,,,,
FMNH,152234,albidiventris,,Small,,3000m,,165,42.61,14.39,4.64,2.02,1.09,4.32,3.72,1.34,62.97259642,23.60718384,4.58861023,91.55,59.53,69.87,69.56,69.48,65.61,61.78,61.12,55.86,55.05,6.03,7.74,1.6,28.29,1.28,19.23,15.86,23.1,16.92,8.32,4.37,5.66,4.52,64.07,54.25,-1.012536288,0.805549751,-0.055208836,Venezuela,Merida,,La Culata,,8.944,70.643,3000,-2.566502229,-0.705756888,-0.663351066,-1.36333111,0.870843542,,,,,,,,,,,,,,,,,,,
FMNH,254756,albidiventris,,Small,f,,,176,43.75,15.07,4.58,2,1.03,4.31,3.45,1.45,62.01441066,21.67698931,4.691968628,100.2,65.29,77.17,78.09,77.64,76.37,71.3,64.12,60.81,59.22,7.02,11.77,2.02,26,1.45,19.29,16.46,26.58,16.84,9.75,5.31,6.93,5.34,70.78,63.75,-0.844522252,0.798862974,0.631514864,Colombia,La Guajira,,"Paramo de Chiruqua, Sierra Nevada de Santa Marta",,10.867,73.717,4835,-0.573151223,0.183797799,-0.276899158,-0.531997458,0.112846533,,,,,,,,,,,,,,,,,,,
